Camera-Tank#,RepeatObs,Temp (deg C),"Pred (No, Nc)",Pred Size (SL mm),Prey,Prey Size (mm),Start Date/Time,End Date/Time,Drilled / EdgeDrill / Pry,% prey flesh remaining,Recorder (initials),Comment
06-R5-5,2,14.9,No,11,B. glandula,2,9/17/17 20:59,9/18/17 18:12,pry,15,SLM,
06-R5-5,3,15,No,11,B. glandula,2,9/18/17 18:49,9/19/17 21:43,pry,40,SLM,
06-R5-6,1,16,No,11,L. asmi,4,10/24/17 13:40,10/24/17 23:45,drill,20,SLM,brown/green around apex and black around the margin
06-R5-7,1,16,No,13,L. asmi,5,10/31/17 6:55,11/1/17 3:43,drill,10,SLM,brown/green around apex and black around the margin
06-R5-8,1,15.9,No,19,S. cariosus,3,11/11/17 15:17,11/11/17 23:55,pry,0,SLM,
06-R5-8,2,15.8,No,19,S. cariosus,2,11/12/17 0:07,11/12/17 7:14,pry,0,SLM,
06-R5-8,3,15.8,No,19,C. dalli,2,11/12/17 7:21,11/12/17 16:09,pry,0,SLM,
06-R5-8,4,15.8,No,19,C. dalli,2,11/12/17 16:12,11/13/17 0:13,pry,0,SLM,
06-R6-1,1,14.5,No,14,M. trossulus,15,7/24/17 23:04,7/25/17 20:47,edge drill,20,SLM,beginning time may be off due to blurry IR image
06-R6-2,1,15.5,No,10,B. glandula,2,8/10/17 19:36,8/11/17 21:54,pry,0,SLM,
06-R6-3,1,15.7,Nc,10,M. trossulus,5,8/22/17 22:57,8/23/17 12:17,drill,0,SLM,
06-R6-3,2,15.9,Nc,10,M. trossulus,4,8/25/17 0:01,8/25/17 7:41,drill,0,SLM,
06-R6-4,1,15.8,No,17,B. glandula,2,9/8/17 4:21,9/8/17 7:53,pry,0,SLM,
06-R6-5,1,15.9,Nc,13,M. trossulus,4,9/19/17 8:42,9/20/17 8:34,drill,0,SLM,
07-L3-1,1,14.7,No,17,M. trossulus,14,7/31/17 8:36,7/31/17 22:33,pry,0,SLM,
07-L3-2,1,15,No,14,B. glandula,3,9/15/17 9:24,9/15/17 16:43,pry,0,SLM,
07-L3-2,2,15,No,14,B. glandula,3,9/15/17 16:48,9/15/17 20:52,pry,0,SLM,
07-L3-2,3,15,No,14,B. glandula,2,9/15/17 21:17,9/16/17 14:04,pry,0,SLM,
07-L3-2,4,15,No,14,B. glandula,3,9/16/17 22:43,9/17/17 21:15,pry,0,SLM,
07-L3-2,5,14.6,No,14,B. glandula,1,9/17/17 21:24,9/18/17 0:57,pry,0,SLM,
07-L4-1,1,14.4,No,17,M. trossulus,19,7/18/17 2:40,7/20/17 4:44,drill,5,JH,difficult to tell when feeding stopped
07-L4-2,1,14,No,18,M. trossulus,15,7/25/17 20:30,7/26/17 11:44,edge drill,8,SLM,
07-L4-3,1,14.7,Nc,21,M. trossulus,9,8/27/17 21:39,8/30/17 9:13,drill,0,SLM,
07-L4-4,1,14.9,No,14,B. glandula,1,9/7/17 8:18,9/7/17 19:55,pry,0,SLM,
07-L4-4,2,15,No,14,B. glandula,3,9/7/17 20:01,9/8/17 5:57,pry,0,SLM,
07-L4-5,1,15.7,Nc,9,M. trossulus,8,9/28/17 11:41,9/30/17 20:24,drill,0,SLM,
07-L4-6,1,15.5,No,9,C. dalli,2,10/6/17 9:34,10/6/17 20:04,pry,0,SLM,
07-L4-6,2,15.7,No,9,C. dalli,1,10/6/17 20:59,10/7/17 3:08,pry,0,SLM,
07-L4-6,3,15.9,No,9,C. dalli,1,10/7/17 3:16,10/7/17 9:38,pry,0,SLM,
07-L4-6,4,15.9,No,9,C. dalli,2,10/7/17 9:43,10/7/17 16:19,pry,0,SLM,
07-L4-6,5,15.9,No,9,C. dalli,2,10/7/17 22:11,10/8/17 11:53,pry,0,SLM,
